File Name: ,Test Description: ,Operator: ,Special Comments: ,Date and Time: 21 Dec 2020_115135,Sampling Rate (Hz): 100,
Calibration Constants,8.625 N/V,7.791 N/V,7.941 N/V
Offsets,8.627 N,8.026 N,8.016 N
Micrometer,12.800 mm,12.800 mm,12.800 mm
Time (s),LC-X (N),LC-Y(N),LC-Z (N),Angle (deg),Est. Speed (rev/s)
31.650,-0.003,-0.003,-0.003,0.900,0.000
31.660,-0.006,-0.003,-0.005,0.900,0.000
31.670,0.003,-0.005,-0.003,0.900,0.000
31.680,-0.003,0.003,0.005,0.900,0.000
31.690,0.003,0.003,-0.003,0.900,0.000
31.700,0.000,-0.003,-0.005,0.900,0.000
31.710,-0.003,0.000,-0.005,0.900,0.000
31.720,-0.003,-0.003,-0.003,0.900,0.000
31.730,-0.003,-0.005,-0.005,0.900,0.000
31.740,-0.003,0.000,0.000,0.900,0.000
31.750,-0.006,-0.003,0.003,0.900,0.000
31.760,-0.003,-0.003,0.000,0.900,0.000
31.770,0.000,-0.003,-0.008,0.900,0.000
31.780,-0.003,0.000,-0.005,0.900,0.000
31.790,-0.003,0.000,-0.003,0.900,0.000
31.800,0.000,0.000,-0.003,0.900,0.000
31.810,-0.003,0.003,0.000,0.900,0.000
31.820,0.000,0.000,0.003,0.900,0.000
31.830,-0.003,0.000,-0.003,0.900,0.000
31.840,-0.003,-0.003,-0.003,0.900,0.000
31.850,0.000,-0.003,0.000,0.900,0.000
31.860,0.000,0.000,-0.005,0.900,0.000
31.870,0.003,-0.003,0.000,0.900,0.000
31.880,0.000,0.005,0.000,0.900,0.000
31.890,-0.003,0.000,0.000,0.900,0.000
31.900,-0.003,-0.003,-0.005,0.900,0.000
31.910,-0.003,-0.003,0.000,0.900,0.000
31.920,-0.006,-0.003,-0.003,0.900,0.000
31.930,0.000,-0.003,-0.005,0.900,0.000
31.940,-0.006,-0.003,-0.003,0.900,0.000
31.950,-0.003,0.000,-0.003,0.900,0.000
31.960,0.000,-0.003,-0.003,0.900,0.000
31.970,-0.003,-0.003,0.000,0.900,0.000
31.980,-0.003,-0.003,0.000,0.900,0.000
31.990,0.000,0.000,0.000,0.900,0.000
32.000,-0.003,0.000,-0.003,0.900,0.000
32.010,-0.003,0.000,0.000,0.900,0.000
32.020,-0.003,0.000,0.000,0.900,0.000
32.030,0.000,0.000,0.000,0.900,0.000
32.040,-0.003,-0.003,0.000,0.900,0.000
32.050,-0.006,-0.003,0.000,0.900,0.000
32.060,-0.006,-0.003,-0.005,0.900,0.000
32.070,-0.006,0.000,-0.003,0.900,0.000
32.080,0.000,0.000,0.008,0.900,0.000
32.090,0.000,0.003,-0.003,0.900,0.000
32.100,0.000,-0.005,-0.003,0.900,0.000
32.110,-0.006,0.000,-0.003,0.900,0.000
32.120,-0.006,0.000,-0.005,0.900,0.000
32.130,-0.006,0.000,-0.003,0.900,0.000
32.140,0.000,0.000,0.003,0.900,0.000
32.150,0.000,0.000,0.003,0.900,0.000
32.160,-0.003,-0.003,-0.003,0.900,0.000
32.170,0.000,-0.003,-0.005,0.900,0.000
32.180,-0.003,0.000,-0.005,0.900,0.000
32.190,-0.003,0.000,-0.005,0.900,0.000
32.200,-0.003,-0.003,-0.003,0.900,0.000
32.210,-0.003,0.003,0.000,0.900,0.000
32.220,0.000,-0.003,-0.003,0.900,0.000
32.230,-0.003,-0.003,-0.003,0.900,0.000
32.240,0.000,-0.003,-0.005,0.900,0.000
32.250,-0.003,0.000,-0.005,0.900,0.000
32.260,-0.003,-0.003,-0.003,0.900,0.000
32.270,-0.003,-0.003,-0.005,0.900,0.000
32.280,-0.003,0.005,0.000,0.900,0.000
32.290,0.000,0.000,0.000,0.900,0.000
32.300,0.000,-0.003,-0.005,0.900,0.000
32.310,-0.003,0.000,-0.003,0.900,0.000
32.320,-0.003,0.000,0.000,0.900,0.000
32.330,0.000,-0.003,-0.005,0.900,0.000
32.340,0.000,0.000,0.000,0.900,0.000
32.350,0.000,0.003,0.003,0.900,0.000
32.360,0.000,-0.003,-0.003,0.900,0.000
32.370,-0.003,-0.005,-0.003,0.900,0.000
32.380,-0.006,-0.003,-0.003,0.900,0.000
32.390,0.000,-0.005,-0.008,0.900,0.000
32.400,-0.006,0.000,-0.003,0.900,0.000
32.410,-0.003,0.000,0.003,0.900,0.000
32.420,-0.003,0.000,0.005,0.900,0.000
32.430,0.000,-0.003,-0.003,0.900,0.000
32.440,0.000,-0.003,-0.003,0.900,0.000
32.450,-0.006,0.000,-0.003,0.900,0.000
32.460,-0.003,-0.005,0.000,0.900,0.000
32.470,-0.003,0.000,0.000,0.900,0.000
32.480,-0.006,0.000,0.000,0.900,0.000
32.490,0.000,0.000,-0.003,0.900,0.000
32.500,-0.003,0.000,-0.005,0.900,0.000
32.510,0.000,-0.003,-0.003,0.900,0.000
32.520,-0.003,-0.003,-0.003,0.900,0.000
32.530,0.000,-0.003,-0.005,0.900,0.000
32.540,-0.003,0.003,0.000,0.900,0.000
32.550,0.000,-0.003,0.003,0.900,0.000
32.560,-0.003,0.000,0.000,0.900,0.000
32.570,-0.003,-0.003,-0.003,0.900,0.000
32.580,0.000,0.000,-0.003,0.900,0.000
32.590,-0.003,-0.003,-0.008,0.900,0.000
32.600,0.003,0.000,-0.005,0.900,0.000
32.610,-0.006,0.000,0.000,0.900,0.000
32.620,0.000,0.003,0.000,0.900,0.000
32.630,0.000,-0.005,-0.003,0.900,0.000
32.640,-0.003,-0.008,-0.003,0.900,0.000
32.650,0.000,-0.003,-0.003,0.900,0.000
32.660,-0.006,-0.005,0.000,0.900,0.000
32.670,-0.003,0.000,-0.003,0.900,0.000
32.680,-0.003,-0.003,0.000,0.900,0.000
32.690,-0.006,0.000,0.000,0.900,0.000
32.700,-0.003,0.000,-0.005,0.900,0.000
32.710,0.003,-0.003,-0.005,0.900,0.000
32.720,0.000,-0.003,-0.005,0.900,0.000
32.730,-0.003,-0.003,0.000,0.900,0.000
32.740,-0.003,0.003,-0.005,0.900,0.000
32.750,-0.003,-0.003,-0.003,0.900,0.000
32.760,-0.003,-0.003,-0.003,0.900,0.000
32.770,-0.003,-0.005,-0.003,0.900,0.000
32.780,0.000,-0.003,-0.003,0.900,0.000
32.790,0.000,0.003,-0.008,0.900,0.000
32.800,-0.006,0.000,-0.003,0.900,0.000
32.810,-0.003,0.000,0.000,0.900,0.000
32.820,0.000,0.003,0.003,0.900,0.000
32.830,-0.003,0.000,0.000,0.900,0.000
32.840,-0.006,0.000,-0.003,0.900,0.000
32.850,-0.003,0.000,-0.003,0.900,0.000
32.860,-0.003,-0.005,-0.005,0.900,0.000
32.870,-0.006,0.003,-0.003,0.900,0.000
32.880,-0.003,-0.003,0.005,0.900,0.000
32.890,-0.006,-0.003,0.000,0.900,0.000
32.900,-0.003,-0.003,0.000,0.900,0.000
32.910,-0.006,-0.003,0.000,0.900,0.000
32.920,-0.003,-0.005,-0.003,0.900,0.000
32.930,0.000,0.000,-0.005,0.900,0.000
32.940,0.000,0.000,-0.003,0.900,0.000
32.950,0.003,0.003,0.003,0.900,0.000
32.960,-0.003,-0.003,-0.003,0.900,0.000
32.970,-0.003,-0.003,-0.005,0.900,0.000
32.980,0.000,0.000,0.000,0.900,0.000
32.990,-0.003,-0.003,-0.005,0.900,0.000
33.000,0.000,0.000,-0.003,0.900,0.000
33.010,-0.006,0.008,0.000,0.900,0.000
33.020,-0.006,0.000,0.000,0.900,0.000
33.030,-0.006,0.000,-0.005,0.900,0.000
33.040,0.000,-0.003,-0.003,0.900,0.000
33.050,-0.006,-0.003,-0.008,0.900,0.000
33.060,-0.003,0.000,-0.008,0.900,0.000
33.070,-0.003,-0.003,-0.005,0.900,0.000
33.080,-0.009,0.000,0.003,0.900,0.000
33.090,-0.003,-0.003,-0.005,0.900,0.000
33.100,-0.003,-0.005,-0.003,0.900,0.000
33.110,0.000,-0.003,-0.003,0.900,0.000
33.120,-0.006,-0.003,0.003,0.900,0.000
33.130,-0.003,-0.005,-0.003,0.900,0.000
33.140,0.000,0.000,0.000,0.900,0.000
33.150,-0.006,-0.003,0.005,0.900,0.000
33.160,0.000,0.000,0.000,0.900,0.000
33.170,-0.003,-0.003,-0.005,0.900,0.000
33.180,0.000,0.000,0.000,0.900,0.000
33.190,0.000,-0.003,-0.003,0.900,0.000
33.200,0.003,0.000,0.000,0.900,0.000
33.210,0.000,0.000,0.003,0.900,0.000
33.220,-0.003,0.000,0.003,0.900,0.000
33.230,-0.003,-0.003,-0.003,0.900,0.000
33.240,-0.003,0.000,-0.003,0.900,0.000
33.250,-0.003,0.000,0.000,0.900,0.000
33.260,-0.003,-0.003,-0.005,0.900,0.000
33.270,-0.003,0.000,-0.003,0.900,0.000
33.280,-0.006,0.003,0.000,0.900,0.000
33.290,0.003,-0.003,0.003,0.900,0.000
33.300,-0.006,-0.003,-0.003,0.900,0.000
33.310,0.000,-0.003,-0.003,0.900,0.000
33.320,0.000,-0.005,-0.005,0.900,0.000
33.330,-0.003,-0.005,-0.003,0.900,0.000
33.340,0.003,0.000,-0.003,0.900,0.000
33.350,0.003,-0.003,0.003,0.900,0.000
33.360,-0.003,-0.003,-0.003,0.900,0.000
33.370,-0.003,-0.003,-0.003,0.900,0.000
33.380,0.000,-0.003,0.000,0.900,0.000
33.390,-0.003,-0.003,-0.003,0.900,0.000
33.400,-0.003,-0.003,0.000,0.900,0.000
33.410,0.000,-0.003,0.000,0.900,0.000
33.420,-0.006,0.000,-0.003,0.900,0.000
33.430,0.000,0.000,-0.005,0.900,0.000
33.440,-0.006,0.000,-0.005,0.900,0.000
33.450,-0.003,-0.005,-0.003,0.900,0.000
33.460,-0.003,-0.003,-0.005,0.900,0.000
33.470,0.000,0.000,0.000,0.900,0.000
33.480,0.003,-0.003,0.003,0.900,0.000
33.490,-0.006,-0.003,0.000,0.900,0.000
33.500,-0.003,-0.005,0.000,0.900,0.000
33.510,-0.003,-0.003,-0.003,0.900,0.000
33.520,0.000,0.000,-0.008,0.900,0.000
33.530,-0.003,0.003,-0.005,0.900,0.000
33.540,-0.003,0.003,-0.003,0.900,0.000
33.550,0.000,-0.003,0.003,0.900,0.000
33.560,-0.003,0.003,0.000,0.900,0.000
33.570,-0.003,0.003,-0.005,0.900,0.000
33.580,-0.003,-0.003,-0.003,0.900,0.000
33.590,-0.003,0.000,-0.005,0.900,0.000
33.600,-0.003,-0.008,-0.003,0.900,0.000
33.610,0.000,0.005,0.000,0.900,0.000
33.620,0.000,-0.003,0.003,0.900,0.000
33.630,-0.003,-0.003,-0.005,0.900,0.000
33.640,-0.003,0.000,-0.005,0.900,0.000
33.650,0.003,-0.005,-0.005,0.900,0.000
33.660,-0.006,-0.003,-0.005,0.900,0.000
33.670,-0.006,0.000,0.003,0.900,0.000
33.680,-0.003,-0.003,0.000,0.900,0.000
33.690,-0.003,0.000,0.000,0.900,0.000
33.700,-0.003,0.000,-0.005,0.900,0.000
33.710,0.000,0.000,0.000,0.900,0.000
33.720,0.000,-0.005,-0.005,0.900,0.000
33.730,-0.003,-0.005,-0.003,0.900,0.000
33.740,-0.003,-0.003,-0.003,0.900,0.000
33.750,0.000,0.000,-0.005,0.900,0.000
33.760,-0.003,-0.003,-0.003,0.900,0.000
33.770,0.000,0.000,-0.003,0.900,0.000
33.780,0.000,0.000,-0.003,0.900,0.000
33.790,-0.003,-0.003,-0.005,0.900,0.000
33.800,-0.006,0.000,-0.003,0.900,0.000
33.810,0.000,0.000,0.000,0.900,0.000
33.820,-0.003,-0.003,0.003,0.900,0.000
33.830,-0.003,0.003,0.000,0.900,0.000
33.840,0.003,-0.005,0.000,0.900,0.000
33.850,-0.006,-0.003,-0.003,0.900,0.000
33.860,-0.003,0.000,-0.005,0.900,0.000
33.870,-0.003,-0.005,-0.005,0.900,0.000
33.880,-0.006,-0.003,0.003,0.900,0.000
33.890,-0.003,0.003,0.003,0.900,0.000
33.900,0.000,0.000,-0.003,0.900,0.000
33.910,-0.003,-0.003,-0.008,0.900,0.000
33.920,-0.003,-0.003,-0.005,0.900,0.000
33.930,-0.006,0.003,-0.003,0.900,0.000
33.940,0.003,-0.003,-0.003,0.900,0.000
33.950,-0.003,-0.003,0.000,0.900,0.000
33.960,-0.003,0.000,0.000,0.900,0.000
33.970,-0.003,-0.003,-0.005,0.900,0.000
33.980,-0.003,-0.003,-0.003,0.900,0.000
33.990,0.000,-0.003,-0.005,0.900,0.000
34.000,0.000,-0.003,-0.003,0.900,0.000
34.010,-0.003,-0.003,0.000,0.900,0.000
34.020,0.000,-0.003,0.003,0.900,0.000
34.030,-0.003,-0.003,-0.005,0.900,0.000
34.040,-0.003,0.000,-0.008,0.900,0.000
34.050,0.003,0.000,-0.003,0.900,0.000
34.060,-0.003,-0.003,-0.008,0.900,0.000
34.070,0.000,0.000,-0.003,0.900,0.000
34.080,0.000,0.005,0.000,0.900,0.000
34.090,-0.003,-0.003,0.000,0.900,0.000
34.100,-0.006,-0.003,-0.003,0.900,0.000
34.110,-0.003,0.000,-0.003,0.900,0.000
34.120,-0.006,0.000,-0.008,0.900,0.000
34.130,0.000,-0.003,-0.005,0.900,0.000
34.140,-0.006,0.003,0.000,0.900,0.000
34.150,0.000,-0.003,0.003,0.900,0.000
34.160,-0.003,-0.003,-0.003,0.900,0.000
34.170,-0.003,-0.005,-0.005,0.900,0.000
34.180,0.000,-0.003,-0.003,0.900,0.000
34.190,0.003,-0.003,0.003,0.900,0.000
34.200,-0.003,0.000,-0.003,0.900,0.000
34.210,0.000,-0.003,-0.003,0.900,0.000
34.220,-0.003,0.003,0.003,0.900,0.000
34.230,-0.006,0.003,-0.003,0.900,0.000
34.240,0.000,-0.005,-0.005,0.900,0.000
34.250,0.000,-0.003,0.000,0.900,0.000
34.260,-0.003,0.000,-0.003,0.900,0.000
34.270,0.000,-0.003,-0.003,0.900,0.000
34.280,0.000,0.000,0.003,0.900,0.000
34.290,-0.003,0.003,-0.003,0.900,0.000
34.300,-0.006,-0.003,-0.003,0.900,0.000
34.310,-0.003,-0.003,-0.005,0.900,0.000
34.320,0.000,0.000,-0.005,0.900,0.000
34.330,0.000,0.000,-0.005,0.900,0.000
34.340,-0.003,0.000,-0.003,0.900,0.000
34.350,0.000,0.000,0.000,0.900,0.000
34.360,0.000,0.000,0.000,0.900,0.000
34.370,-0.003,-0.005,-0.008,0.900,0.000
34.380,-0.006,-0.003,-0.005,0.900,0.000
34.390,-0.006,-0.003,-0.003,0.900,0.000
34.400,0.000,0.003,-0.003,0.900,0.000
34.410,0.000,-0.003,0.000,0.900,0.000
34.420,-0.003,0.000,0.003,0.900,0.000
34.430,-0.006,0.000,-0.003,0.900,0.000
34.440,-0.003,-0.003,-0.008,0.900,0.000
34.450,0.000,0.000,-0.003,0.900,0.000
34.460,0.000,0.000,-0.005,0.900,0.000
34.470,-0.003,0.000,0.003,0.900,0.000
34.480,-0.006,0.000,0.003,0.900,0.000
34.490,0.000,0.000,0.000,0.900,0.000
34.500,0.000,-0.003,-0.003,0.900,0.000
34.510,-0.006,-0.005,-0.003,0.900,0.000
34.520,-0.003,-0.003,-0.003,0.900,0.000
34.530,-0.003,-0.003,-0.005,0.900,0.000
34.540,-0.006,0.000,-0.003,0.900,0.000
34.550,-0.003,0.003,0.005,0.900,0.000
34.560,-0.003,0.000,0.000,0.900,0.000
34.570,0.000,0.000,-0.005,0.900,0.000
34.580,0.000,0.000,-0.003,0.900,0.000
34.590,-0.003,-0.003,-0.005,0.900,0.000
34.600,0.000,-0.003,-0.005,0.900,0.000
34.610,-0.006,0.003,-0.003,0.900,0.000
34.620,-0.003,0.000,-0.003,0.900,0.000
34.630,-0.003,0.000,-0.003,0.900,0.000
34.640,0.000,0.003,0.000,0.900,0.000
34.650,-0.003,-0.005,-0.005,0.900,0.000
34.660,0.000,0.000,-0.003,0.900,0.000
34.670,-0.006,0.000,-0.003,0.900,0.000
34.680,-0.003,0.000,0.003,0.900,0.000
34.690,0.003,0.000,0.000,0.900,0.000
34.700,0.000,-0.005,-0.005,0.900,0.000
34.710,-0.003,-0.003,-0.003,0.900,0.000
34.720,0.000,-0.005,-0.005,0.900,0.000
34.730,-0.003,-0.005,-0.005,0.900,0.000
34.740,-0.003,-0.003,0.000,0.900,0.000
34.750,0.000,-0.003,0.003,0.900,0.000
34.760,-0.006,-0.003,0.000,0.900,0.000
34.770,0.000,0.000,-0.003,0.900,0.000
34.780,-0.003,-0.003,-0.003,0.900,0.000
34.790,0.000,-0.003,-0.005,0.900,0.000
34.800,0.000,0.003,-0.005,0.900,0.000
34.810,0.000,0.000,0.000,0.900,0.000
34.820,0.000,0.005,-0.003,0.900,0.000
34.830,-0.003,-0.003,-0.005,0.900,0.000
34.840,0.000,-0.003,-0.005,0.900,0.000
34.850,-0.006,-0.003,-0.003,0.900,0.000
34.860,-0.003,-0.003,-0.003,0.900,0.000
34.870,0.000,-0.003,-0.003,0.900,0.000
34.880,0.000,0.000,0.003,0.900,0.000
34.890,-0.003,0.003,-0.003,0.900,0.000
34.900,0.000,-0.005,-0.005,0.900,0.000
34.910,0.000,0.000,0.000,0.900,0.000
34.920,-0.003,-0.003,-0.003,0.900,0.000
34.930,0.000,0.000,0.003,0.900,0.000
34.940,0.000,0.000,0.003,0.900,0.000
34.950,-0.003,0.000,0.000,0.900,0.000
34.960,0.003,0.000,-0.003,0.900,0.000
34.970,-0.003,-0.003,-0.003,0.900,0.000
34.980,-0.006,0.000,-0.005,0.900,0.000
34.990,0.000,-0.003,-0.008,0.900,0.000
35.000,0.000,-0.003,-0.003,0.900,0.000
35.010,0.000,-0.003,0.003,0.900,0.000
35.020,-0.003,-0.003,0.003,0.900,0.000
35.030,0.003,-0.003,-0.003,0.900,0.000
35.040,-0.003,0.000,-0.003,0.900,0.000
35.050,0.003,-0.005,-0.003,0.900,0.000
35.060,-0.009,-0.005,-0.005,0.900,0.000
35.070,-0.003,-0.003,0.003,0.900,0.000
35.080,0.000,-0.003,0.000,0.900,0.000
35.090,0.000,-0.003,0.003,0.900,0.000
35.100,0.000,0.000,-0.005,0.900,0.000
35.110,0.000,0.000,-0.005,0.900,0.000
35.120,0.000,-0.003,-0.003,0.900,0.000
35.130,-0.003,-0.005,-0.005,0.900,0.000
35.140,-0.009,0.000,-0.003,0.900,0.000
35.150,-0.003,0.003,0.005,0.900,0.000
35.160,-0.003,0.003,0.003,0.900,0.000
35.170,0.000,0.000,-0.003,0.900,0.000
35.180,0.000,-0.005,-0.003,0.900,0.000
35.190,0.000,0.000,-0.003,0.900,0.000
35.200,0.000,-0.003,-0.005,0.900,0.000
35.210,0.000,-0.003,0.000,0.900,0.000
35.220,0.003,0.000,0.000,0.900,0.000
35.230,-0.003,-0.005,0.000,0.900,0.000
35.240,0.003,0.000,-0.003,0.900,0.000
35.250,-0.003,-0.005,-0.003,0.900,0.000
35.260,0.000,-0.005,-0.003,0.900,0.000
35.270,-0.003,-0.005,-0.003,0.900,0.000
35.280,-0.003,-0.005,0.000,0.900,0.000
35.290,0.000,-0.003,0.000,0.900,0.000
35.300,0.000,-0.005,-0.005,0.900,0.000
35.310,0.000,-0.003,-0.005,0.900,0.000
35.320,-0.003,-0.008,0.000,0.900,0.000
35.330,0.003,-0.003,-0.003,0.900,0.000
35.340,0.003,0.000,-0.003,0.900,0.000
35.350,-0.006,0.003,0.000,0.900,0.000
35.360,-0.003,-0.003,0.000,0.900,0.000
35.370,-0.003,-0.003,-0.005,0.900,0.000
35.380,-0.003,0.000,0.000,0.900,0.000
35.390,-0.003,0.003,-0.010,0.900,0.000
35.400,0.000,-0.003,0.000,0.900,0.000
35.410,0.000,-0.003,-0.003,0.900,0.000
35.420,0.000,0.003,0.000,0.900,0.000
35.430,0.000,-0.005,-0.005,0.900,0.000
35.440,-0.003,-0.005,-0.005,0.900,0.000
35.450,0.003,0.000,-0.005,0.900,0.000
35.460,-0.006,-0.003,-0.003,0.900,0.000
35.470,-0.003,-0.005,-0.005,0.900,0.000
35.480,0.000,0.000,0.003,0.900,0.000
35.490,0.000,-0.003,0.003,0.900,0.000
35.500,-0.003,-0.003,-0.005,0.900,0.000
35.510,-0.003,-0.005,-0.005,0.900,0.000
35.520,0.000,0.000,-0.003,0.900,0.000
35.530,0.000,-0.003,-0.003,0.900,0.000
35.540,0.000,0.000,-0.003,0.900,0.000
35.550,-0.003,0.003,0.005,0.900,0.000
35.560,-0.003,0.000,0.000,0.900,0.000
35.570,0.006,-0.003,0.000,0.900,0.000
35.580,-0.003,0.000,-0.005,0.900,0.000
35.590,-0.006,0.000,-0.005,0.900,0.000
35.600,-0.006,-0.003,0.000,0.900,0.000
35.610,-0.003,0.000,0.000,0.900,0.000
35.620,-0.003,0.000,0.000,0.900,0.000
35.630,0.000,0.000,-0.003,0.900,0.000
35.640,0.003,-0.005,-0.005,0.900,0.000
35.650,0.000,0.000,-0.005,0.900,0.000
35.660,0.000,-0.008,-0.003,0.900,0.000
35.670,-0.003,-0.003,0.000,0.900,0.000
35.680,-0.006,0.000,0.003,0.900,0.000
35.690,0.000,0.000,-0.003,0.900,0.000
35.700,-0.003,0.000,-0.003,0.900,0.000
35.710,0.000,-0.003,0.003,0.900,0.000
35.720,-0.006,0.000,-0.003,0.900,0.000
35.730,-0.006,-0.003,-0.003,0.900,0.000
35.740,0.000,0.000,0.003,0.900,0.000
35.750,0.003,-0.003,0.005,0.900,0.000
35.760,-0.003,-0.005,-0.003,0.900,0.000
35.770,-0.006,-0.005,-0.005,0.900,0.000
35.780,-0.003,-0.005,-0.008,0.900,0.000
35.790,0.003,-0.003,-0.005,0.900,0.000
35.800,-0.003,0.003,0.000,0.900,0.000
35.810,-0.006,-0.003,0.000,0.900,0.000
35.820,-0.003,0.003,0.000,0.900,0.000
35.830,0.000,-0.003,0.000,0.900,0.000
35.840,0.000,-0.003,-0.005,0.900,0.000
35.850,0.000,0.000,-0.003,0.900,0.000
35.860,0.000,0.000,0.003,0.900,0.000
35.870,0.000,0.000,-0.003,0.900,0.000
35.880,0.000,0.005,0.003,0.900,0.000
35.890,-0.003,0.000,-0.003,0.900,0.000
35.900,0.003,-0.003,-0.003,0.900,0.000
35.910,-0.003,0.000,-0.003,0.900,0.000
35.920,-0.003,0.000,-0.003,0.900,0.000
35.930,-0.003,-0.003,-0.003,0.900,0.000
35.940,-0.003,0.000,0.003,0.900,0.000
35.950,-0.003,0.003,0.003,0.900,0.000
35.960,-0.003,-0.003,0.000,0.900,0.000
35.970,-0.006,-0.005,-0.005,0.900,0.000
35.980,-0.003,-0.005,-0.003,0.900,0.000
35.990,-0.006,-0.003,-0.005,0.900,0.000
36.000,-0.006,0.000,0.000,0.900,0.000
36.010,0.000,0.000,0.003,0.900,0.000
36.020,0.003,0.000,0.000,0.900,0.000
36.030,0.000,-0.005,0.000,0.900,0.000
36.040,0.000,-0.003,-0.003,0.900,0.000
36.050,0.003,0.000,-0.005,0.900,0.000
36.060,-0.006,0.003,0.000,0.900,0.000
36.070,-0.003,0.000,0.000,0.900,0.000
36.080,-0.003,0.000,0.005,0.900,0.000
36.090,0.000,0.000,0.003,0.900,0.000
36.100,-0.003,-0.003,-0.005,0.900,0.000
36.110,-0.003,-0.003,-0.008,0.900,0.000
36.120,0.000,-0.003,-0.003,0.900,0.000
36.130,-0.006,0.000,-0.005,0.900,0.000
36.140,-0.003,0.000,0.000,0.900,0.000
36.150,-0.003,0.000,0.000,0.900,0.000
36.160,0.000,0.003,-0.003,0.900,0.000
36.170,-0.006,-0.003,-0.005,0.900,0.000
36.180,0.000,0.000,-0.003,0.900,0.000
36.190,-0.006,0.000,-0.005,0.900,0.000
36.200,0.003,-0.003,0.000,0.900,0.000
36.210,0.000,0.003,0.000,0.900,0.000
36.220,-0.003,-0.005,0.003,0.900,0.000
36.230,0.000,0.003,-0.003,0.900,0.000
36.240,-0.003,-0.005,-0.005,0.900,0.000
36.250,0.000,0.000,-0.003,0.900,0.000
36.260,-0.006,0.000,-0.005,0.900,0.000
36.270,-0.006,-0.003,-0.003,0.900,0.000
36.280,0.000,-0.003,0.000,0.900,0.000
36.290,0.003,0.003,0.000,0.900,0.000
36.300,0.000,-0.003,-0.003,0.900,0.000
36.310,-0.003,0.000,0.000,0.900,0.000
36.320,-0.003,0.000,-0.003,0.900,0.000
36.330,-0.006,-0.003,-0.005,0.900,0.000
36.340,-0.003,0.000,-0.003,0.900,0.000
36.350,0.000,0.000,0.000,0.900,0.000
36.360,0.000,-0.008,0.000,0.900,0.000
36.370,0.000,0.000,-0.005,0.900,0.000
36.380,-0.006,0.000,-0.003,0.900,0.000
36.390,-0.003,0.000,-0.008,0.900,0.000
36.400,0.000,-0.003,-0.005,0.900,0.000
36.410,-0.003,0.000,0.000,0.900,0.000
36.420,-0.006,0.000,-0.003,0.900,0.000
36.430,0.000,0.000,-0.003,0.900,0.000
36.440,-0.003,-0.005,-0.003,0.900,0.000
36.450,-0.006,0.000,-0.005,0.900,0.000
36.460,-0.003,0.000,-0.005,0.900,0.000
36.470,-0.003,-0.003,-0.003,0.900,0.000
36.480,0.000,0.000,0.000,0.900,0.000
36.490,-0.003,-0.003,-0.005,0.900,0.000
36.500,0.000,-0.005,-0.003,0.900,0.000
36.510,0.000,-0.008,-0.003,0.900,0.000
36.520,-0.003,0.000,-0.003,0.900,0.000
36.530,-0.003,0.000,-0.003,0.900,0.000
36.540,0.000,-0.003,0.000,0.900,0.000
36.550,-0.003,0.000,0.003,0.900,0.000
36.560,-0.003,-0.003,-0.005,0.900,0.000
36.570,-0.003,0.003,-0.005,0.900,0.000
36.580,-0.003,0.003,-0.003,0.900,0.000
36.590,-0.006,-0.005,-0.010,0.900,0.000
36.600,-0.006,0.000,-0.003,0.900,0.000
36.610,0.000,0.000,-0.003,0.900,0.000
36.620,-0.006,0.000,-0.003,0.900,0.000
36.630,-0.003,-0.005,-0.005,0.900,0.000
36.640,-0.003,-0.003,-0.005,0.900,0.000
36.650,0.000,-0.003,-0.003,0.900,0.000
36.660,-0.003,0.000,-0.003,0.900,0.000
36.670,-0.003,0.000,0.000,0.900,0.000
36.680,-0.003,-0.003,0.000,0.900,0.000
36.690,0.000,-0.003,-0.003,0.900,0.000
36.700,0.000,-0.003,-0.003,0.900,0.000
36.710,-0.006,-0.005,-0.005,0.900,0.000
36.720,-0.003,-0.003,-0.005,0.900,0.000
36.730,-0.006,-0.003,-0.003,0.900,0.000
36.740,-0.003,-0.003,0.000,0.900,0.000
36.750,-0.006,0.000,0.000,0.900,0.000
36.760,-0.006,-0.003,-0.003,0.900,0.000
36.770,-0.003,-0.003,-0.005,0.900,0.000
36.780,-0.003,0.000,-0.005,0.900,0.000
36.790,0.003,-0.003,-0.005,0.900,0.000
36.800,-0.003,-0.005,-0.003,0.900,0.000
36.810,0.000,0.003,0.000,0.900,0.000
36.820,0.000,0.000,0.000,0.900,0.000
36.830,-0.003,0.000,-0.003,0.900,0.000
36.840,0.000,0.000,0.000,0.900,0.000
36.850,0.000,0.000,0.000,0.900,0.000
36.860,0.000,-0.003,-0.003,0.900,0.000
36.870,-0.003,0.000,-0.005,0.900,0.000
36.880,0.000,-0.003,0.000,0.900,0.000
36.890,-0.009,-0.003,0.000,0.900,0.000
36.900,-0.006,0.003,-0.003,0.900,0.000
36.910,0.000,-0.003,-0.005,0.900,0.000
36.920,-0.003,-0.003,-0.003,0.900,0.000
36.930,-0.006,0.000,-0.003,0.900,0.000
36.940,-0.006,0.000,0.000,0.900,0.000
36.950,-0.003,0.003,0.003,0.900,0.000
36.960,0.000,-0.005,-0.003,0.900,0.000
36.970,0.000,-0.005,-0.005,0.900,0.000
36.980,-0.003,-0.003,0.000,0.900,0.000
36.990,-0.003,-0.003,-0.008,0.900,0.000
37.000,0.000,0.000,-0.003,0.900,0.000
